"zip","prescriptions","opiods","antibiotics","long_acting_opiods","antipsychotics"
"37043","157063","19100","6058","3934","1400"
"37888","4699","15","98",NULL,NULL
"38002","25643","2466","1057","166","215"
"37874","159989","10492","5678","246","1499"
"37130","283281","11336","8836","523","5342"
"37062","2209","100","614",NULL,NULL
"38054","295",NULL,"18",NULL,NULL
"38504","83","41","23",NULL,NULL
"39066","21",NULL,"21",NULL,NULL
"38305","697050","43136","27628","4113","7815"
"77079","39",NULL,"39",NULL,NULL
"38237","173941","9154","6833","470","3408"
"37416","17925","2100","862","533","212"
"38011","42181","2341","1973","41","297"
"37917","256472","16196","7610","3527","8928"
"38174","15512","726","480","38","30"
"38037","81","15","14",NULL,NULL
"37887","58822","6112","1466","956","290"
"38119","583002","31667","23441","3771","15456"
"37924","53633","5395","1802","1286","309"
"37762","67859","2573","1759","95","631"
"37995","622","27","315",NULL,NULL
"37932","36091","2686","2597","107","694"
"37331","119450","6121","4411","207","1137"
"38723","14",NULL,NULL,NULL,NULL
"38372","180372","9892","7417","378","3098"
"37315","650","38","277",NULL,NULL
"38066","6188","206","104",NULL,"12"
"37410","8431",NULL,"39",NULL,NULL
"37620","601627","45660","20036","6462","11822"
"37184","225","11","188",NULL,NULL
"38116","136719","5096","5106","121","202"
"37232","782403","31713","22912","4002","4627"
"37343","285750","19638","10110","1056","1532"
"38111","155793","4310","4765","153","1551"
"37857","135540","8259","5370","364","1223"
"37711","23562","948","896","12","11"
"75080","15",NULL,"15",NULL,NULL
"37923","396419","45670","14288","9888","4086"
"38355","11501","1399","323","19","72"
"38253","270","66","55",NULL,NULL
"37310","13803","2298","409","188","210"
"37236","10280","1317","1750","36","20"
"37166","162490","8009","5807","397","1230"
"37912","57686","3706","1854","151","439"
"37240","36",NULL,NULL,NULL,NULL
"37659","14709","940","1158","61","181"
"37069","28421","1198","1085","70","158"
"38330","5310","169","175",NULL,"50"
"37212","63876","4100","2444","629","8955"
"38138","1014385","32892","29893","2040","2583"
"38006","1514","398","143","11","12"
"37180","5198","524","185","11",NULL
"37183","7619","567","323","49","104"
"37015","79116","3648","2882","257","1128"
"37320","2059","29","120",NULL,"12"
"37064","59347","4113","2562","475","3953"
"37705","1312","79",NULL,NULL,"13"
"38580","958","34","70",NULL,NULL
"37138","13846","1746","970","26","58"
"38375","125806","5872","4946","343","2476"
"34742","157",NULL,NULL,NULL,NULL
"38369","18798","882","749","90","197"
"37843","4383","129","33",NULL,NULL
"37129","403510","24097","14684","3425","7932"
"38017","103301","6645","5306","331","2157"
"37207","177551","17967","7145","3688","1647"
"37840","50493","3391","1732","144","416"
"37763","124898","9429","3288","741","2339"
"37814","311292","18401","14008","1226","7100"
"38553","27844","1770","1084","26","158"
"37367","53969","3306","1844","58","683"
"37388","283531","19638","12263","3182","5627"
"37686","2032","389","866",NULL,NULL
"37073","25897","1494","834","48","164"
"38134","200730","10578","7256","958","2844"
"38157","23421","62","1036",NULL,"1465"
"38024","392117","20109","13982","926","3955"
"37401","95",NULL,NULL,NULL,NULL
"37865","97002","5452","5125","224","230"
"37403","338534","28526","10898","2518","2328"
"37012","74","13","61",NULL,NULL
"37725","157012","8454","5924","758","1931"
"37391","117","80","15",NULL,NULL
"38104","386288","16055","10329","479","3311"
"38240","77",NULL,"31",NULL,NULL
"37849","263558","10462","13895","912","2280"
"37355","172310","24319","5452","4349","1903"
"37356","17870","1148","476","71","195"
"38137","35","22","13",NULL,NULL
"38079","12876","175","325","12",NULL
"38356","2095","14","164",NULL,"585"
"38053","67885","5701","2900","333","497"
"37334","144479","5916","5759","233","1097"
"38132","41774","3835","842","190","453"
"37650","115814","5651","3097","241","2665"
"37821","177054","11876","7112","1386","2992"
"37411","55353","2129","2679","266","864"
"37353","125","27","18",NULL,NULL
"76904","1527",NULL,"100",NULL,NULL
"37034","1160",NULL,"74",NULL,"308"
"38101","9715","358","358",NULL,"45"
"37329","21627","1409","475","122","688"
"38478","127743","6714","5712","328","843"
"37617","1036",NULL,"69",NULL,"232"
"38260","4184","81","213",NULL,NULL
"38122","38794","3820","2003","233","225"
"37681","10836","489","207",NULL,"12"
"37663","79278","3950","2979","178","204"
"37082","221","103","71",NULL,NULL
"38120","420110","37592","22749","4343","4292"
"37101","7698","402","774",NULL,NULL
"38001","55984","2221","2652","107","822"
"37042","45581","8633","1520","2010","264"
"38103","55691","3661","2540","77","1338"
"37664","22184","703","1962",NULL,"879"
"38425","7066","249","402",NULL,"45"
"37931","30672","800","1193","52","262"
"37871","211","28","183",NULL,NULL
"37757","102646","4552","6288","114","1444"
"37683","104750","6281","4630","364","583"
"37203","1139203","83587","34480","9017","11080"
"37046","186","19","72",NULL,NULL
"37862","250954","13084","10547","699","2334"
"37361","1481",NULL,"190",NULL,"13"
"38301","459741","24169","18322","1618","11143"
"37863","26658","1926","1721","12","94"
"37642","74714","5823","1931","472","704"
"37738","19436","2310","1445","148","127"
"38058","23635","1486","752","39","114"
"38574","16119","861","636","50","88"
"75032","14",NULL,"14",NULL,NULL
"38115","39588","577","1087",NULL,"273"
"37772","108272","5374","4123","170","2305"
"37601","180294","17678","6777","1716","1336"
"38230","7058","834","297","35","51"
"38225","41811","3361","1687","205","320"
"37323","6164","79","449",NULL,NULL
"38462","71906","3076","2579",NULL,"2114"
"37804","251607","12026","10256","541","3679"
"37206","26317","412","249","14","2084"
"38118","86972","3996","2882","25","9395"
"38016","96422","12254","2253","2976","7254"
"37876","616","146",NULL,"19",NULL
"37013","88932","40306","819","8460","245"
"37918","180821","11260","5830","1750","3856"
"37743","235509","14424","7204","562","4614"
"37375","21429","2044","894","76","111"
"37684","20433","1083","360","72","2536"
"37127","2961","417","399","11","20"
"75035","12",NULL,"12",NULL,NULL
"37915","10275","138","113",NULL,"11"
"37604","917693","65057","34330","8593","16234"
"38551","84837","6483","2481","1061","1125"
"38450","9988","1226","497",NULL,"30"
"37753","4035","156","155","33","18"
"78758","77","40","23",NULL,NULL
"38049","49","18","13",NULL,NULL
"37140","169","92","77",NULL,NULL
"37373","19115","3123","619","253","91"
"38464","191131","14012","12036","1371","4254"
"38063","61351","4216","2348","110","1525"
"38019","93471","5820","3439","375","3887"
"37885","46212","1844","2152",NULL,"117"
"37841","147499","22698","4299","1303","2404"
"38469","20950","1020","906","53","612"
"38507","51",NULL,"51",NULL,NULL
"38382","70845","3928","2181","166","736"
"37030","81327","5378","2578","660","704"
"37419","399","138","155",NULL,NULL
